sku,name,translated
BRN-90X220,Doors 90x220 Raw BARN,Türen 90x220 Roh BARN
BRN-100X210,Doors 100x210 Raw BARN,Türen 100x210 Roh BARN
BRN-100X220,Doors 100x220 Raw BARN,Türen 100x220 Roh BARN
BRN-110X210,Doors 110x210 Raw BARN,Türen 110x210 Roh BARN
BRN-110X220,Doors 110x220 Raw BARN,Türen 110x220 Roh BARN
01.691R.AI.180,Hot pot holder SERCE,Halter für heiße Töpfe SERCE
03.850.HFB.600,Reling RĘCZNIE KUTY,Reling RĘCZNIE KUTY
49.410W.AI.90,Opener RUSTYKALNE UCHWYTY,Öffner RUSTYKALNE UCHWYTY
BRN-OL-80X210,Door 80x210 Natural oil BARN,Tür 80x210 Naturöl BARN
BRN-OL-80X220,Doors 80x220 Natural oil BARN,Türen 80x220 Naturöl BARN
BRN-OL-90X210,Doors 90x210 Natural oil BARN,Türen 90x210 Naturöl BARN
BRN-OL-90X220,Doors 90x220 Natural oil BARN,Türen 90x220 Naturöl BARN
ZA.ST2021,Wine rack,Weinregal
70.495B.AI.16,End rail bracket RIG,Endschienenhalter RIG
BRN-OL-100X220,Doors 100x220 Natural oil BARN,Türen 100x220 Naturöl BARN
BRN-OL-110X210,Door 110x210 Natural oil BARN,Tür 110x210 Naturöl BARN
BRN-OL-110X220,Door 110x220 Natural oil BARN,Tür 110x220 Naturöl BARN
ZA.169-S10-280,Wine holder STALOWY,Weinhalter STALOWY
ZA.169-C10-280,Wine holder CZARNY,Weinhalter CZARNY
BRN-BR-80X210,Door 80x210 Oil Brown BARN,Tür 80x210 Ölbraun BARN
BRN-BR-80X220,Doors 80x220 Oil Brown BARN,Türen 80x220 Öl Braun BARN
BRN-BR-90X210,Doors 90x210 Oil Brown BARN,Türen 90x210 Ölbraun BARN
ZA.169UNW,Wine holders SIELSKI TRUNEK,Weinhalter SIELSKI TRUNEK
BRN-BR-90X220,Doors 90x220 Oil Brown BARN,Türen 90x220 Öl Braun BARN
BRN-BR-100X210,Doors 100x210 Oil Brown BARN,Türen 100x210 Öl Braun BARN
70.465A.AI.350,Cast iron handle UNIWERSALNY,Griff aus Gusseisen UNIWERSALNY
BRN-BR-100X220,Doors 100x220 Oil Brown BARN,Türen 100x220 Öl Braun BARN
BRN-BR-110X210,Door 110x210 Oil Brown BARN,Tür 110x210 Ölbraun BARN
BRN-BR-110X220,Doors 110x220 Oil Brown BARN,Türen 110x220 Öl Braun BARN
SE.DRZ.BRN.PRGR,Doors Oak BARN,Türen Eiche BARN
ZA.REG10DR,Shelf DRABINA Z PÓŁKAMI GŁĘBOKIMI 3,Regal DRABINA Z PÓŁKAMI GŁĘBOKIMI 3
49.826C.AI.75,Candle holder 78mm OKRĄGŁY,Kerzenhalter 78mm OKRĄGŁY
49.826C.AI-PRGR,Chandeliers OKRĄGŁE,Kronleuchter OKRĄGŁE
70.410.AI.GNB,Opener BREWERY,Öffner BREWERY
70.411.AI.ALE,Opener DRINK REAL ALE,Öffner DRINK REAL ALE
05.078.AI.330,Egg holder,Eierhalter
70.497S.AI.75,Railing hook RIG,Geländerhaken RIG
49.411.AI.CRA,Opener DRINK CRAFT BEER,Öffner DRINK CRAFT BEER
OLD-80X210,Doors 80x210 Raw OLD,Türen 80x210 Roh OLD
OLD-90X210,Doors 90x210 Raw OLD,Türen 90x210 Roh OLD
70.828.AI.50,Recessed candleholder T-LIGHT,Versenkter Kerzenhalter T-LIGHT
OLD-90X220,Doors 90x220 Raw OLD,Türen 90x220 Roh OLD
OLD-100x210,Doors 100x210 Raw OLD,Türen 100x210 Roh OLD
OLD-100X220,Doors 100x220 Raw OLD,Türen 100x220 Roh OLD
01.691O.AI.230,Hot pot holder OZDOBNA,Halter für heiße Töpfe OZDOBNA
OLD-110X210,Doors 110x210 Raw OLD,Türen 110x210 Roh OLD
49.411.AI.SA,Opener STELLA,Öffner STELLA
OLD-110X220,Doors 110x220 Raw OLD,Türen 110x220 Roh OLD
OLD-OL-80X210,Door 80x210 Natural oil OLD,Tür 80x210 Naturöl OLD
OLD-OL-80X220,Doors 80x220 Natural oil OLD,Türen 80x220 Naturöl OLD
OLD-OL-90X210,Doors 90x210 Natural oil OLD,Türen 90x210 Naturöl OLD
OLD-OL-90X220,Doors 90x220 Natural oil OLD,Türen 90x220 Naturöl OLD
49.826.ABW.75,Chandelier Z KOLCEM I GWINTEM,Kronleuchter Z KOLCEM I GWINTEM
OLD-OL-100X210,Doors 100x210 Natural oil OLD,Türen 100x210 Naturöl OLD
OLD-OL-100X220,Doors 100x220 Natural oil OLD,Türen 100x220 Naturöl OLD
OLD-OL-110X210,Door 110x210 Natural oil OLD,Tür 110x210 Naturöl OLD
OLD-OL-110X220,Door 110x220 Natural oil OLD,Tür 110x220 Naturöl OLD
01.412.AI.PAR,Opener PAPUGA,Öffner PAPUGA
49.411.AI.NH,Opener NOTTING HILL,Öffner NOTTING HILL
OLD-BR-80X210,Door 80x210 Oil Brown OLD,Tür 80x210 Ölbraun OLD
OLD-BR-80X220,Doors 80x220 Oil Brown OLD,Türen 80x220 Öl Braun OLD
OLD-BR-90X210,Doors 90x210 Oil Brown OLD,Türen 90x210 Ölbraun OLD
OLD-BR-90X220,Doors 90x220 Oil Brown OLD,Türen 90x220 Öl Braun OLD
OLD-BR-100X210,Doors 100x210 Oil Brown OLD,Türen 100x210 Öl Braun OLD
OLD-BR-100X220,Doors 100x220 Oil Brown OLD,Türen 100x220 Öl Braun OLD
OLD-BR-110X210,Door 110x210 Oil Brown OLD,Tür 110x210 Ölbraun OLD
OLD-BR-110X220,Doors 110x220 Oil Brown OLD,Türen 110x220 Öl Braun OLD
OLD-80X220,Doors 80x220 Raw OLD,Türen 80x220 Roh OLD
SE.DRZ.OLD.PRGR,Doors Oak OLD,Türen Eiche OLD
MAR-80X210,Doors 80x210 Raw MARX,Türen 80x210 Roh MARX
MAR-80X220,Doors 80x220 Raw MARX,Türen 80x220 Roh MARX
MAR-90X210,Doors 90x210 Raw MARX,Türen 90x210 Roh MARX
MAR-90X220,Doors 90x220 Raw MARX,Türen 90x220 Roh MARX
MAR-100X210,Doors 100x210 Raw MARX,Türen 100x210 Roh MARX
MAR-100X220,Doors 100x220 Raw MARX,Türen 100x220 Roh MARX
MAR-110X210,Doors 110x210 Raw MARX,Türen 110x210 Roh MARX
MAR-110X220,Doors 110x220 Raw MARX,Türen 110x220 Roh MARX
MAR-OL-80X210,Door 80x210 Natural oil MARX,Tür 80x210 Naturöl MARX
MAR-OL-80X220,Doors 80x220 Natural oil MARX,Türen 80x220 Naturöl MARX
MAR-OL-90X210,Doors 90x210 Natural oil MARX,Türen 90x210 Naturöl MARX
MAR-OL-90X220,Doors 90x220 Natural oil MARX,Türen 90x220 Naturöl MARX
MAR-OL-100X210,Doors 100x210 Natural oil MARX,Türen 100x210 Naturöl MARX
MAR-OL-100X220,Doors 100x220 Natural oil MARX,Türen 100x220 Naturöl MARX
MAR-OL-110X210,Door 110x210 Natural oil MARX,Tür 110x210 Naturöl MARX
MAR-OL-110X220,Door 110x220 Natural oil MARX,Tür 110x220 Naturöl MARX
MAR-BR-80X210,Door 80x210 Oil Brown MARX,Tür 80x210 Ölbraun MARX
MAR-BR-80X220,Doors 80x220 Oil Brown MARX,Türen 80x220 Öl Braun MARX
MAR-BR-90X210,Doors 90x210 Oil Brown MARX,Türen 90x210 Ölbraun MARX
MAR-BR-90X220,Doors 90x220 Oil Brown MARX,Türen 90x220 Öl Braun MARX
MAR-BR-100X210,Doors 100x210 Oil Brown MARX,Türen 100x210 Öl Braun MARX
MAR-BR-100X220,Doors 100x220 Oil Brown MARX,Türen 100x220 Öl Braun MARX
MAR-BR-110X210,Door 110x210 Oil Brown MARX,Tür 110x210 Ölbraun MARX
MAR-BR-110X220,Doors 110x220 Oil Brown MARX,Türen 110x220 Öl Braun MARX
SE.DRZ.MARX.PRGR,Doors Oak MARX,Türen Eiche MARX
IN.Y06,Metal plate FREE BEER,Metallplatte FREE BEER
IN.Y08,Metal plate GARAGE 5,Metallplatte GARAGE 5
IN.Y11,Metal plate (round) ENJOY SWEET TEA,Metallplatte (rund) ENJOY SWEET TEA
IN.Y14,Metal plate (round) LIMONADE,Metallplatte (rund) LIMONADE
IN.Y17,Metal plate ROLLING STONES,Metallplatte ROLLING STONES
IN.Y23,Metal plate BBQ 3,Metallplatte BBQ 3
IN.Y29,Metal plate TEXACO 1,Metallplatte TEXACO 1
IN.Y33,Metal plate GARAGE 1,Metallplatte GARAGE 1
IN.Y35,Metal plate MOJITO CLASSIC,Metallplatte MOJITO CLASSIC
IN.Y42,Metal plate PIZZA ZONE,Metallplatte PIZZA ZONE
IN.Y46,Metal plate GARAGE 2,Metallplatte GARAGE 2
IN.Y48,Metal plate RENT A CAR,Metallplatte RENT A CAR
IN.Y54,Metal plate AMERICAN MOTO,Metallplatte AMERICAN MOTO
IN.Y59,Metal plate I WANT YOU TO BE,Metallplatte I WANT YOU TO BE
IN.Y71,Metal plate Coffe1,Metallplatte Coffe1
IN.Y75,Espresso round metal plaque,Espresso runde Metallplakette
IN.Y77,Metal plate AMERICANO,Metallplatte AMERICANO
IN.Y78,Metal plate MOCHA,Metallplatte MOCHA
IN.Y79,Round metal plate CAPPUCINO,Runde Metallplatte CAPPUCINO
IN.C120,Metal plate USA ROUTE 66,Metallplatte USA ROUTE 66
IN.C123,Metal plate WE ARE OPEN 2,Metallplatte WE ARE OPEN 2
IN.C116,Metal plate FLAGA CANADA,Metallplatte FLAGA CANADA
IN.JT14,Metal direction plate COFFEE,Richtungsplatte aus Metall COFFEE
IN.JT31,Metal direction plate EXIT SZARONIEBIESKA,Richtungsplatte aus Metall EXIT SZARONIEBIESKA
IN.C150,Metal plate I LOVE WOMEN,Metallplatte I LOVE WOMEN
IN.C044,Metal plate SMILE 2,Metallplatte SMILE 2
IN.Y13,Metal plate FILLING STATION,Metallplatte FILLING STATION
IN.Y44,Metal plate ROAD RACE,Metallplatte ROAD RACE
IN.C059,Metal plate I LOVE AMSTERDAM,Metallplatte I LOVE AMSTERDAM
IN.C047,Metal plate COLD BEER 1,Metallplatte COLD BEER 1
IN.C274,Metal plate MAN 1,Metallplatte MAN 1
IN.C072,Metal plate MOTOR HARLEY 1,Metallplatte MOTOR HARLEY 1
IN.C275,Metal plate WOMAN 1,Metallplatte WOMAN 1
IN.D08,Metal plate GAS 3,Metallplatte GAS 3
IN.Y73,Metal plate NO SMOKING 3,Metallplatte NO SMOKING 3
IN.C068,Metal plate COLD BEER 2,Metallplatte COLD BEER 2
IN.C216,Metal plate I LOVE LONDON,Metallplatte I LOVE LONDON
IN.C267,Metal plate BUDKA TELEFONICZNA Z LONDYNU 2,Metallplatte BUDKA TELEFONICZNA Z LONDYNU 2
IN.Y57,Metal plate GARAGE 4,Metallplatte GARAGE 4
IN.Y58,Metal plate YOUR THIRST TAKES WINGS,Metallplatte YOUR THIRST TAKES WINGS
IN.C245,Metal plate & BIG BEN CZERWONY AUTOBUS,Metallplatte & BIG BEN CZERWONY AUTOBUS
IN.C041,Metal plate DREAM,Metallplatte DREAM
IN.C048,Metal plate FLAGA GB 1,Metallplatte FLAGA GB 1
IN.C099,Metal plate LONDON 1,Metallplatte LONDON 1
IN.C012,Metal plate I LOVE PARIS,Metallplatte I LOVE PARIS
IN.C122,Metal plate WE ARE OPEN 1,Metallplatte WE ARE OPEN 1
IN.JT36,Metal direction plate ENTRACE,Richtungsplatte aus Metall ENTRACE
IN.JT12,Metal direction plate MUSIC BAR,Richtungsplatte aus Metall MUSIC BAR
IN.Y39,Metal plate PETROL,Metallplatte PETROL
IN.C051,Metal plate I LOVE NEW YORK,Metallplatte I LOVE NEW YORK
IN.C222,Metal plate BUDKA TELEFONICZNA Z LONDYNU 1,Metallplatte BUDKA TELEFONICZNA Z LONDYNU 1
IN.C126,Metal plate WE ARE CLOSED 2,Metallplatte WE ARE CLOSED 2
IN.C268,Metal plate LONDON 2,Metallplatte LONDON 2
IN.C049,Metal plate I LOVE USA,Metallplatte I LOVE USA
IN.D07,Metal plate GAS 1,Metallplatte GAS 1
IN.D11,Metal plate GAS 2,Metallplatte GAS 2
IN.Y24,Metal plate BOWLING ZONE,Metallplatte BOWLING ZONE
IN.Y37,Metal plate GARAGE 3,Metallplatte GARAGE 3
IN.C039,Metal plate SORRY WE ARE CLOSED,Metallplatte SORRY WE ARE CLOSED
IN.C073,Metal plate NO SMOKING 2,Metallplatte NO SMOKING 2
IN.C270,Metal plate SURF SHOP,Metallplatte SURF SHOP
IN.JT09,Metal direction plate WELCOME NIEBIESKA,Richtungsplatte aus Metall WELCOME NIEBIESKA
IN.Y19,Metal plate COFFEE MADE ME DO IT,Metallplatte COFFEE MADE ME DO IT
IN.C057,Metal plate MOTOR 1,Metallplatte MOTOR 1
IN.JT41,Metal direction plate MOTEL CZERWONA,Richtungsplatte aus Metall MOTEL CZERWONA
IN.JT23,Metal direction plate OPEN,Richtungsplatte aus Metall OPEN
IN.C137,Metal plate WE ARE CLOSED 3,Metallplatte WE ARE CLOSED 3
IN.JT17,Metal direction plate BAR 2,Richtungsplatte aus Metall BAR 2
IN.C055,Metal plate I LOVE WHISKEY,Metallplatte I LOVE WHISKEY
IN.C115,Metal plate FLAGA MEXICO,Metallplatte FLAGA MEXICO
IN.C100,Metal plate BEETLE,Metallplatte BEETLE
IN.C058,Metal plate MERCEDES SL AMG 65 2,Metallplatte MERCEDES SL AMG 65 2
IN.C066,Metal plate WELCOME,Metallplatte WELCOME
IN.C033,Number plate with metal USA 1884,Nummernschild mit Metall USA 1884
IN.C054,Metal plate HOME,Metallplatte HOME
IN.C070,Metal plate CHEERS,Metallplatte CHEERS
IN.C065,Metal plate SMILE 1,Metallplatte SMILE 1
IN.C142,Metal plate & VW ROUTE 66,Metallplatte & VW ROUTE 66
IN.C106,Metal plate LOVE,Metallplatte LOVE
IN.C011,Metal plate I LOVE BEER,Metallplatte I LOVE BEER
IN.C050,Metal plate VW OGÓREK 2,Metallplatte VW OGÓREK 2
IN.C235,Number plate with metal USA 84TCZ,Nummernschild mit Metall USA 84TCZ
IN.C140,Metal plate I LOVE VODKA,Metallplatte I LOVE VODKA
IN.C250,Metal plate TAXI NEW YORK,Metallplatte TAXI NEW YORK
IN.C022,Metal plate PIWO,Metallplatte PIWO
IN.D18,Metal direction plate BEER 1,Richtungsplatte aus Metall BEER 1
IN.C114,Metal plate AUSTRALIA,Metallplatte AUSTRALIA
IN.Y07,Metal plate SHELL 13,Metallplatte SHELL 13
IN.C061,Metal plate FLAGA GB 2,Metallplatte FLAGA GB 2
IN.C149,Metal plate I LOVE MONEY,Metallplatte I LOVE MONEY
IN.C239,Number plate with metal USA UDK6868,Nummernschild mit Metall USA UDK6868
IN.C219,Metal plate WIEŻA EIFFLA,Metallplatte WIEŻA EIFFLA
01.342.AI.BATH,Cast iron plate BATHROOM,Gusseisenplatte BATHROOM
01.342.AI.DOG,Cast iron plate BEWARE OF THE DOG,Gusseisenplatte BEWARE OF THE DOG
01.342A.AI.GNER,Cast iron plate GNER,Gusseisenplatte GNER
01.342.AI.LARD,Cast iron plate LARDER,Gusseisenplatte LARDER
01.342.AI.NS,Cast iron plate NO SMOKING 2,Gusseisenplatte NO SMOKING 2
01.342.AI.GATE,Cast iron plate PLEASE CLOSE THE GATE,Gusseisenplatte PLEASE CLOSE THE GATE
49.342.AI.WC,Cast iron plate WC,Gusseisenplatte WC
70.342.AI.SCHL,Cast iron plate THE OLD SCHOOL,Gusseisenplatte THE OLD SCHOOL
49.342.AI.TOA,Cast iron plate TOALETA 1,Gusseisenplatte TOALETA 1
49.342T.AI.150,Cast iron plate TOALETA 2,Gusseisenplatte TOALETA 2
70.342.AI.TO,Cast iron plate TOILET,Gusseisenplatte TOILET
49.342.AI.PIES,Cast iron plate UWAGA ZŁY PIES,Gusseisenplatte UWAGA ZŁY PIES
70.342.AI.VINT,Cast iron plate VINTAGE,Gusseisenplatte VINTAGE
49.342.AI.ZAC,Cast iron plate ZAKAZ PALENIA,Gusseisenplatte ZAKAZ PALENIA
ZA.027-C10-83,Furniture handle KOŁATKA SIELSKA,Möbelgriff KOŁATKA SIELSKA
70.082.AC.120,Furniture handle 120mm KABŁĄKOWY COPPER,Möbelgriff 120mm KABŁĄKOWY COPPER
70.082.AC.85,Furniture handle 100mm KABŁĄKOWY COPPER,Möbelgriff 100mm KABŁĄKOWY COPPER
70.082.AC.120XX,Furniture handles KABŁĄKOWE COPPER,Möbelgriffe KABŁĄKOWE COPPER
45.082.AI.150,Furniture handle CIĘŻKI,Möbelgriff CIĘŻKI
70.082A.AI.120,Furniture handle 120mm COUNTRY,Möbelgriff 120mm COUNTRY
01.082A.AC.120,Furniture handle 120mm COUNTRY COPPER,Möbelgriff 120mm COUNTRY COPPER
03.082A.RU.120,Furniture handle 120mm COUNTRY POSTARZANY,Möbelgriff 120mm COUNTRY POSTARZANY
49.079H.AI.65,Furniture handle DROBNY,Möbelgriff DROBNY
01.082F.AI.230,Fancy furniture handle 230mm,Fancy Möbelgriff 230mm
01.082F.AI.100,Fancy furniture handle 120mm,Ausgefallener Möbelgriff 120mm
49.087G.AI.150,Furniture handle FRANCUSKI,Möbelgriff FRANCUSKI
AG.6914,Furniture handle GRANDE 1,Möbelgriff GRANDE 1
AG.12638,Furniture handle GRANDE 2,Möbelgriff GRANDE 2
70.083B.AI.125,Furniture handle GROT,Möbelgriff GROT
WX.A8103.HIG.ANT,Upright mixer LEEDS,Stehendmischer LEEDS
WX.309B.HIG.BLA,Upright kitchen mixer black BATH,"Küchenmixer schwarz, stehend BATH"
70.082.RU.120,Furniture handle 120mm KABŁĄKOWY RDZEWIONY,Möbelgriff 120mm KABŁĄKOWY RDZEWIONY
WX.A9003A.BLA,Kitchen mixer stand mixer black high BRADFORD,Küchenmaschine Standmixer schwarz hoch BRADFORD
WX.XT27.HIG.BLA,Upright kitchen mixer black BRISTOL,"Küchenmixer schwarz, stehend BRISTOL"
WX.XT79.BLA,Upright mixer HULL,Stehendmischer HULL
WX.3238B.HIG.BLA,Upright kitchen mixer black KENDAL,"Küchenmixer schwarz, stehend KENDAL"
WX.B622.BLA,Kitchen mixer stand mixer black high SALFORD,Küchenmaschine Standmixer schwarz hoch SALFORD
WX.XT.248.BLA.5,Upright kitchen mixer black TELFORD,"Küchenmixer schwarz, stehend TELFORD"
WX.B513.HIG.ANT,Upright mixer OKSFORD 3,Stehendmischer OKSFORD 3
WX.550B.HIG.BLA,Upright mixer BIRMINGHAM 2,Stehendmischer BIRMINGHAM 2
70.082.AI.XX,Steel drawer handle,Schubladengriff aus Stahl
70.079.SBC.125,Furniture handle 125mm Black KOŁATKA OZDOBNA,Möbelgriff 125mm Schwarz KOŁATKA OZDOBNA
09003.04100.27,Furniture knocker handle x 44mm 41,Möbelklopfer Griff x 44mm 41
WX.B515.SHO.BLA,Upright mixer BRIGHTON 1,Stehendmischer BRIGHTON 1
WX.B515.HIG.BLA,Upright mixer BRIGHTON 2,Stehendmischer BRIGHTON 2
WX.8004B.SHO.BLA,Upright mixer CHESTER 1,Stehendmischer CHESTER 1
WX.8006HB.HIG.BLA,Upright mixer CHESTER 2,Stehendmischer CHESTER 2
WX.536B.HIG.BLA,Upright mixer CORBY,Stehendmischer CORBY
WX.B529.SHI.BLA,Upright mixer ELY NISKA,Stehendmischer ELY NISKA
49.087B.AI.100,Furniture handle padlock 100mm,Möbelgriff Vorhängeschloss 100mm
WX.XT.852.BLA,Upright mixer SALFORD 1,Stehendmischer SALFORD 1
03.087B.AI.80,Furniture handle padlock 80mm,Möbelgriff Vorhängeschloss 80mm
AG.12636,Furniture handle libros level,Möbelgriff libros Ebene
AG.12637,Libros vertical furniture handle,Libros vertikaler Möbelgriff
WX.XT.248.BLA.4,Upright mixer HATFIELD,Stehendmischer HATFIELD
WX.HT99564,Upright mixer LOLA 3,Stehendmischer LOLA 3
WX.512B.SHO.BLA,Upright mixer LONDYN 1,Stehendmischer LONDYN 1
WX.512B.HIG.BLA,Upright mixer LONDYN 2,Stehendmischer LONDYN 2
WX.B3255.HIG.BLA,Upright mixer LUTON,Stehendmischer LUTON
WX.B504.SHO.BLA,Upright mixer MARGATE 1,Stehendmischer MARGATE 1
WX.B504.HIG.BLA,Upright mixer MARGATE 2,Stehendmischer MARGATE 2
AG.6126,Furniture handle munera vertical,Möbelgriff munera vertikal
WX.B621.BLA,Single lever mixer SALFORD,Einhebelmischer SALFORD
WX.B511.SHO.BLA,Upright mixer NORWICH 1,Stehendmischer NORWICH 1
AG.6125,Furniture handle munera horizontal,Möbelgriff munera horizontal
70.089R.AI.105,Furniture handle bat,Möbelgriff Fledermaus
49.087F.AI.150,Pirate flag furniture handle,Möbelgriff mit Piratenflagge
WX.XT.248.BLA.2,Upright mixer DARTFORD 1,Stehendmischer DARTFORD 1
WX.HT92522,Upright mixer GLEN 1,Stehendmischer GLEN 1
01.087E.AI.100,Practical furniture handle,Praktischer Möbelgriff
70.089.AI.100,Furniture handle straight 100mm,Möbelgriff gerade 100mm
70.089.RU.150,Straight rusted furniture handle 150mm,Gerader verrosteter Möbelgriff 150mm
SE RVE BB 303,"Furniture handle, stained","Möbelgriff, gebeizt"
12997.11000.27,Rustic knocker x 110mm furniture handle with escutcheon 30,Rustikaler Klopfer x 110mm Möbelgriff mit Rosette 30
12998.11500.27,Rustic knocker furniture handle x 115mm with escutcheon 37,Rustikaler Klopfer Möbelgriff x 115mm mit Rosette 37
12999.11500.27,Rustic knocker decorative furniture handle horizontal,Rustikaler Klopfer dekorativer Möbelgriff horizontal
06999.06400.27,Rustic decorative furniture handle x 49mm 115,Rustikaler dekorativer Möbelgriff x 49mm 115
06996.06400.27,Rustic furniture handle straight x 43mm 110,Rustikaler Möbelgriff gerade x 43mm 110
ZA.021-S10-132,Idyllic steel furniture handle 1,Idyllischer Stahlmöbelgriff 1
ZA.005-C10-260,Furniture handle idyllic straight 305mm - black,Möbelgriff idyllisch gerade 305mm - schwarz
ZA.004-C10-200,Idyllic furniture handle 245mm - black,Idyllischer Möbelgriff 245mm - schwarz
ZA.004-S10-200,Furniture handle 245mm - Steel SIELSKI PROSTAK,Möbelgriff 245mm - Stahl SIELSKI PROSTAK
ZA.003-S10-160,Furniture handle idyllic straight 205mm - steel,Möbelgriff idyllisch gerade 205mm - Stahl
ZA.002-C10-120,Furniture handle idyllic straight 165mm - black,Möbelgriff idyllisch gerade 165mm - schwarz
ZA.003-C10-160,Furniture handle idyllic straight 205mm - black,Möbelgriff idyllisch gerade 205mm - schwarz
ZA.KL.SW-ST,Furniture handle steel wood,Möbelgriff Stahl Holz
70.082C.AI.120,Furniture handle sash 120mm,Möbelgriff Schärpe 120mm
70.082C.AI.155,Furniture handle sash 155mm,Möbelgriff Schärpe 155mm
SE RVE DP 1103,Trapezoidal furniture handle,Trapezförmiger Möbelgriff
49.087D.AI.150,Furniture handle three-part 150mm,Möbelgriff dreiteilig 150mm
WX.QY3802,Shower mixer CODY,Brausebatterie CODY
WX.XT315,Shower mixer Antique bronze DRAGOR,Brausebatterie Antike Bronze DRAGOR
WX.QY3601,Shower mixer LUXURY,Brausebatterie LUXURY
WX.XT309.BLA,Shower mixer YORK,Brausebatterie YORK
WX.XT306.BLA,Shower mixer BOLTON,Brausebatterie BOLTON
WX.XT308.BLA,Shower mixer DERBY,Brausebatterie DERBY
WX.HT99030.BLA,Shower mixer LEXIE II,Brausebatterie LEXIE II
WX.HT996601,Shower mixer LOLA,Brausebatterie LOLA
WX.HT92029,Shower mixer GLEN,Brausebatterie GLEN
WX.TX117.BLA,Wall-mounted mixer YORK 1,Wandbatterie YORK 1
WX.B3215.HIG.BLA,Wall-mounted mixer YORK 2,Wandbatterie YORK 2
WX.HT92549,Wall-mounted mixer GOLD,Wandbatterie GOLD
WX.XT119,Wall-mounted mixer COPPER 1,Wandbatterie COPPER 1
WX.XT975,Wall-mounted mixer COPPER 2,Wandbatterie COPPER 2
WX.XT.389.BLA.1,Bath mixer WATFORD,Wannenbatterie WATFORD
WX.XSQ15.COP.KLI,Wash-basin stopper with overflow antique bronze OZDOBNY,Waschbeckenstöpsel mit Überlauf antik bronze OZDOBNY
WX.SXQ.BLA.KLI,Wash-basin stopper with overflow black 19cm SIMPLY RETRO 2,Waschbeckenstöpsel mit Überlauf schwarz 19cm SIMPLY RETRO 2
70.086V.AI.56,Type furniture knob T,Typ Möbelknopf T
30.079.RU.105,Rusted furniture handle 105mm WIEJSKI,Verrosteter Möbelgriff 105mm WIEJSKI
70.069.AI.130,Recessed rectangular furniture handle 130mm,Eingelassener rechteckiger Möbelgriff 130mm
SE RVE DP 1023,Patterned furniture handle,Gemusterter Möbelgriff
03.001.AI.70,Furniture handle 70mm RAMKA,Möbelgriff 70mm RAMKA
70.082S.AI.130,Shovel furniture handle 130mm,Schaufel Möbelgriff 130mm
70.088P.AI.098,Shell furniture handle ROYAL MAIL GPO,Muschel-Möbelgriff ROYAL MAIL GPO
70.087C.AI.102,Shell holder 102mm PROSTY,Muschelhalter 102mm PROSTY
70.087A.AI.110,Shell holder 110mm PRZYSADZISTY,Schalenhalter 110mm PRZYSADZISTY
49.087B.AI.80,Decorative shell holder 80mm,Dekorativer Muschelhalter 80mm
70.088G.AI.098,Shell holder GNER,Muschelhalter GNER
70.087A.AI.102,Shell handle smooth,Muschelgriff glatt
70.088A.AI.098,Shell holder LOGO,Muschelhalter LOGO
30.087D.AI.106,Shell holder beautiful,Muschelhalter schön
30.087E.AI.120,Shell holder rectangular 110mm,Muschelhalter rechteckig 110mm
30.087C.AI.105,Shell holder 100mm WARGA,Muschelhalter 100mm WARGA
70.087A.AI.96,Shell holder PRZYSADZISTY,Muschelhalter PRZYSADZISTY
70.088.AI.105,Shell holder with frame 100mm,Schalenhalter mit Rahmen 100mm
70.087C.AI.92,Shell holder 90mm PROSTY,Schalenhalter 90mm PROSTY
01.087A.AI.95,Shell handle decora,Muschelgriff Dekora
30.087B.AI.90,Decorative shell handle 90,Dekorativer Muschelgriff 90
01.087C.AI.120,Royal shell holder,Königlicher Muschelhalter
01.087A.AI.100,Shell handle PARYS,Muschelgriff PARYS
01.087G.AI.110,Shell handle POSEJDON,Muschelgriff POSEJDON
30.087.AI.96.2,Shell holder 95mm PRĄŻEK,Muschelhalter 95mm PRĄŻEK
70.087D.AI.96,Shell handle with lip,Muschelgriff mit Lippe
70.087F.AI.108,Shell handle SMUKŁY,Muschelgriff SMUKŁY
70.087R.AI.95,Shell handle ROYAL,Muschelgriff ROYAL
70.088LU.AI.098,Shell handle UNDERGROUND,Muschelgriff UNDERGROUND
70.088.AI.75,Shell holder with 77mm frame,Muschelhalter mit 77mm Rahmen
01.069R.AI.125,Recessed furniture handle ELIOT,Eingelassener Möbelgriff ELIOT
FLI.G-100X210,Doors 100x210 Raw FLINSTON Z GWOŹDZIAMI,Türen 100x210 Roh FLINSTON Z GWOŹDZIAMI
FLI.G-OL-100X210,Doors 100x210 Natural oil FLINSTON Z GWOŹDZIAMI,Türen 100x210 Naturöl FLINSTON Z GWOŹDZIAMI
31.088E.AI.52,Handle with frame ORNAMENT,Handgriff mit Rahmen ORNAMENT
AF.794.771.00,Leather handle,Ledergriff
FLI.G-BR-100X210,Doors 100x210 Oil Brown FLINSTON Z GWOŹDZIAMI,Türen 100x210 Öl Braun FLINSTON Z GWOŹDZIAMI
SE.DRZ.FLI.G.PRGR,Doors Oak FLINSTON Z GWOŹDZIAMI,Türen Eiche FLINSTON Z GWOŹDZIAMI
49.082.HFB.100,Rounded forged handle 100,Abgerundeter geschmiedeter Griff 100
49.082.HFB.125,Rounded forged handle 130,Abgerundeter geschmiedeter Griff 130
49.082.HFB.150,Rounded forged handle 150,Abgerundeter geschmiedeter Griff 150
